match_id,season_id,balls_per_over,city,match_date,event_name,match_number,gender,match_type,format,overs,season,team_type,venue,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets,player_of_match,result,stage
335982,2008,6,Bangalore,4/18/2008,Indian Premier League,1,male,T20,T20,20,2008,club,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,140,NULL,46,win,T20
335983,2008,6,Chandigarh,4/19/2008,Indian Premier League,2,male,T20,T20,20,2008,club,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,33,NULL,11943,win,T20
335984,2008,6,Delhi,4/19/2008,Indian Premier League,3,male,T20,T20,20,2008,club,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,NULL,9,11982,win,T20
335985,2008,6,Mumbai,4/20/2008,Indian Premier League,5,male,T20,T20,20,2008,club,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,NULL,5,11935,win,T20
335986,2008,6,Kolkata,4/20/2008,Indian Premier League,4,male,T20,T20,20,2008,club,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,NULL,5,11922,win,T20
335987,2008,6,Jaipur,4/21/2008,Indian Premier League,6,male,T20,T20,20,2008,club,Sawai Mansingh Stadium,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Rajasthan Royals,NULL,6,5,win,T20
335988,2008,6,Hyderabad,4/22/2008,Indian Premier League,7,male,T20,T20,20,2008,club,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,NULL,9,11975,win,T20
335989,2008,6,Chennai,4/23/2008,Indian Premier League,8,male,T20,T20,20,2008,club,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Chennai Super Kings,6,NULL,11942,win,T20
335990,2008,6,Hyderabad,4/24/2008,Indian Premier League,9,male,T20,T20,20,2008,club,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,NULL,3,60,win,T20
335991,2008,6,Chandigarh,4/25/2008,Indian Premier League,10,male,T20,T20,20,2008,club,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,66,NULL,11954,win,T20
335992,2008,6,Bangalore,4/26/2008,Indian Premier League,12,male,T20,T20,20,2008,club,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,NULL,7,5,win,T20
335993,2008,6,Chennai,4/26/2008,Indian Premier League,11,male,T20,T20,20,2008,club,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,NULL,9,11946,win,T20
